,created_at,temperature,humidity,rolling_temp
493,2026-05-01T03:00:00.000,19.2,52,17.66
494,2026-05-01T03:00:00.000,17.2,75,17.64
495,2026-05-01T03:00:00.000,17.2,75,17.619999999999997
499,2026-05-01T04:00:00.000,20.1,49,18.18
496,2026-05-01T04:00:00.000,18.3,71,18.4
497,2026-05-01T04:00:00.000,18.3,71,18.22
498,2026-05-01T04:00:00.000,18.3,71,18.44
503,2026-05-01T05:00:00.000,19.9,64,18.979999999999997
502,2026-05-01T05:00:00.000,19.9,64,18.94
500,2026-05-01T05:00:00.000,21.6,45,19.6
501,2026-05-01T05:00:00.000,19.9,64,19.919999999999998
504,2026-05-01T06:00:00.000,23.5,40,20.96
505,2026-05-01T06:00:00.000,21,58,21.18
506,2026-05-01T06:00:00.000,21,58,21.4
507,2026-05-01T06:00:00.000,21,58,21.28
508,2026-05-01T07:00:00.000,22.3,51,21.759999999999998
509,2026-05-01T07:00:00.000,22.3,51,21.52
510,2026-05-01T07:00:00.000,26.1,33,22.54
511,2026-05-01T07:00:00.000,22.3,51,22.8
515,2026-05-01T08:00:00.000,29.3,26,24.46
514,2026-05-01T08:00:00.000,25.8,34,25.160000000000004
512,2026-05-01T08:00:00.000,25.8,34,25.860000000000003
513,2026-05-01T08:00:00.000,25.8,34,25.8
519,2026-05-01T09:00:00.000,31.8,20,27.7
516,2026-05-01T09:00:00.000,28.7,21,27.580000000000002
517,2026-05-01T09:00:00.000,28.7,21,28.159999999999997
518,2026-05-01T09:00:00.000,28.7,21,28.74
523,2026-05-01T10:00:00.000,30.6,15,29.7
522,2026-05-01T10:00:00.000,30.6,15,29.46
520,2026-05-01T10:00:00.000,30.6,15,29.839999999999996
521,2026-05-01T10:00:00.000,33.4,17,30.78
524,2026-05-01T11:00:00.000,32,14,31.440000000000005
525,2026-05-01T11:00:00.000,32,14,31.72
526,2026-05-01T11:00:00.000,34.4,16,32.480000000000004
527,2026-05-01T11:00:00.000,32,14,32.760000000000005
531,2026-05-01T12:00:00.000,32.8,13,32.64
528,2026-05-01T12:00:00.000,32.8,13,32.8
529,2026-05-01T12:00:00.000,35,15,33.4
530,2026-05-01T12:00:00.000,32.8,13,33.08
532,2026-05-01T13:00:00.000,35.4,14,33.76
533,2026-05-01T13:00:00.000,33,12,33.8
534,2026-05-01T13:00:00.000,33,12,33.839999999999996
535,2026-05-01T13:00:00.000,33,12,33.44
538,2026-05-01T14:00:00.000,32.7,13,33.42
539,2026-05-01T14:00:00.000,32.7,13,32.88
536,2026-05-01T14:00:00.000,32.7,13,32.82000000000001
537,2026-05-01T14:00:00.000,35.3,14,33.28
542,2026-05-01T15:00:00.000,31.9,14,33.06
543,2026-05-01T15:00:00.000,31.9,14,32.9
540,2026-05-01T15:00:00.000,31.9,14,32.739999999999995
541,2026-05-01T15:00:00.000,34.6,16,33.12
547,2026-05-01T16:00:00.000,30.6,16,32.18
546,2026-05-01T16:00:00.000,30.6,16,31.919999999999998
544,2026-05-01T16:00:00.000,32.9,20,32.12
545,2026-05-01T16:00:00.000,30.6,16,31.859999999999996
548,2026-05-01T17:00:00.000,28.8,18,30.7
549,2026-05-01T17:00:00.000,28.8,18,30.339999999999996
550,2026-05-01T17:00:00.000,28.8,18,29.98
551,2026-05-01T17:00:00.000,30.4,26,29.48
552,2026-05-01T18:00:00.000,27,23,28.76
553,2026-05-01T18:00:00.000,27,23,28.4
554,2026-05-01T18:00:00.000,28.2,31,28.28
555,2026-05-01T18:00:00.000,27,23,27.919999999999998
559,2026-05-01T19:00:00.000,25.1,32,26.860000000000003
558,2026-05-01T19:00:00.000,25.1,32,26.48
556,2026-05-01T19:00:00.000,26.4,33,26.360000000000003
557,2026-05-01T19:00:00.000,25.1,32,25.740000000000002
560,2026-05-01T20:00:00.000,23.1,44,24.96
561,2026-05-01T20:00:00.000,23.1,44,24.560000000000002
562,2026-05-01T20:00:00.000,23.1,44,24.160000000000004
563,2026-05-01T20:00:00.000,24.8,33,23.84
566,2026-05-01T21:00:00.000,21.5,53,23.119999999999997
567,2026-05-01T21:00:00.000,23.5,34,23.2
565,2026-05-01T21:00:00.000,21.5,53,22.880000000000003
564,2026-05-01T21:00:00.000,21.5,53,22.56
568,2026-05-01T22:00:00.000,20.5,56,21.7
569,2026-05-01T22:00:00.000,20.5,56,21.5
570,2026-05-01T22:00:00.000,20.5,56,20.9
571,2026-05-01T22:00:00.000,22.5,35,21.1
575,2026-05-01T23:00:00.000,19.7,56,20.740000000000002
572,2026-05-01T23:00:00.000,19.7,56,20.580000000000002
573,2026-05-01T23:00:00.000,19.7,56,20.419999999999998
574,2026-05-01T23:00:00.000,21.8,37,20.68
576,2026-05-02T00:00:00.000,21,40,20.380000000000003
577,2026-05-02T00:00:00.000,19,57,20.240000000000002
578,2026-05-02T00:00:00.000,19,57,20.1
579,2026-05-02T00:00:00.000,19,57,19.96
